FACILITYKE,BuildingNu,SHORTNAME,LONGNAME,Link,scanned_dr,page_name,site_plan_,latitude,longitude
200,200,,The Reef,https://drive.google.com/open?id=1NnN0Y9yRqtfxIZZnoYrHZF6jF8xs83nh,https://drawings.facilities.ucsb.edu/results.php?locnum=200,200-The Reef,https://drive.google.com/open?id=1BRK5ccN-TMqPsolVDSEPN0slvDa1N-_Q,34.407503,-119.843551
205,205,,Filter / Reservoir House,https://drive.google.com/open?id=1Np1Dwqwf0CZZEnnz9Tk7SzyZNsirJt3H,https://drawings.facilities.ucsb.edu/results.php?locnum=205,205-Filter / Reservoir House,https://drive.google.com/open?id=1BFU53LMZJBMX5L7Q4Yb7sksAe9ey0umb,34.407501,-119.843268
220,220,,Electrical Utility Storage Building,https://drive.google.com/open?id=1Np_2wQV-dhaOkonBwyaWS4Qw3xto603x,https://drawings.facilities.ucsb.edu/results.php?locnum=220,220-Electrical Utility Storage Building,https://drive.google.com/open?id=1BZ5Q3phYfaCpFb1JJHIW8MeHgNuecFAj,34.419013,-119.85123
221,221,,Student Resource Building,https://drive.google.com/open?id=1Nv_1-wn9ne1CWVgQXECZ73nHseLxaOos,https://drawings.facilities.ucsb.edu/results.php?locnum=221,221-Student Resource Building,https://drive.google.com/open?id=1BTEjkTItddzqoNy0rYnIAqu-4cGR6JdM,34.412681,-119.852638
222,222,,Switch House,https://drive.google.com/open?id=1NwUQSLukkNUfjc9k7B_hd9USIftl_SCe,https://drawings.facilities.ucsb.edu/results.php?locnum=222,222-Switch House,https://drive.google.com/open?id=1BZnfZ8eYLP6HmXYjgC7XwxwLjg10qvRv,34.419229,-119.851256
223,223,,Theater & Dance West,https://drive.google.com/open?id=1NxV4a8EU7yaLKkO1xU5Xp6F__2fncD7o,https://drawings.facilities.ucsb.edu/results.php?locnum=223,223-Theater & Dance West,https://drive.google.com/open?id=1BmEFIrkGE-K-FPDjCIYXM18YjTfeIX4m,34.412494,-119.851457
224,224,,Colegio Substation,https://drive.google.com/open?id=1O4ZaxOu8ubsr89h_opDO7tyI-WgDy7iU,https://drawings.facilities.ucsb.edu/results.php?locnum=224,224-Colegio Substation,https://drive.google.com/open?id=1BncSWcOOtm2mACF6gBCxEwTW_mgvtVLt,34.419458,-119.851379
225,225,,Engineering Science,https://drive.google.com/open?id=1OIns0Oicc4pxmXqOcSIJiJ6yUO393-ea,https://drawings.facilities.ucsb.edu/results.php?locnum=225,225-Engineering Science,https://drive.google.com/open?id=1BtsQP1KatkNwJD8oMQI6UYEm2JS7fZk3,34.415622,-119.841405
226,226,,Henley Hall - UNDER CONSTRUCTION,https://drive.google.com/open?id=1OQ-wqNUMnIa154mEDoXG8jhbnuJWHXCe,https://drawings.facilities.ucsb.edu/results.php?locnum=226,226-Henley Hall - UNDER CONSTRUCTION,https://drive.google.com/open?id=1BygJjzueMZkQ0tPKDpCSMzhcCmidYcGm,34.4171,-119.844596
232,232,,Trailer 232,https://drive.google.com/open?id=1OVk2Y2YTCRwffwlgXzF-HLqcs4tzt2wA,https://drawings.facilities.ucsb.edu/results.php?locnum=232,232-Trailer 232,https://drive.google.com/open?id=1C-DdY9xaDqESLCGgH_E3nC-YNtuMPYfq,34.415985,-119.843513
235,235,,Life Sciences,https://drive.google.com/open?id=1OZ8t3xFvMU8bzPj-Mzmtqne8DzHmYM7-,https://drawings.facilities.ucsb.edu/results.php?locnum=235,235-Life Sciences,https://drive.google.com/open?id=1C50u8UaXlmvv5joN_rIF3bPri2wrpa8-,34.411879,-119.843695
243,243,ICA,Intercollegiate Athletics,https://drive.google.com/open?id=1OfUeepZUhH95rcgWz4kZmUb-_5BwQ0G7,https://drawings.facilities.ucsb.edu/results.php?locnum=243,243-Intercollegiate Athletics,https://drive.google.com/open?id=1C7cBncvZMrebTbaJlcyTMg5nDOEmHMQP,34.415969,-119.850458
250,250,,Mesa Parking (aka Parking 18),https://drive.google.com/open?id=1OhaMNtGzxldH-ya6M25gY4-pXi5SRyih,https://drawings.facilities.ucsb.edu/results.php?locnum=250,250-Mesa Parking (aka Parking 18),https://drive.google.com/open?id=1CAgv9c_hjM95oXFkvI9Z428d-KSl5iBg,34.417493,-119.847644
251,251,,Psychology East,https://drive.google.com/open?id=1Ok-VZo0w1DQ-o4CdDEte-e9B81hOVTGk,https://drawings.facilities.ucsb.edu/results.php?locnum=251,251-Psychology East,https://drive.google.com/open?id=1C8cDQAhSqaqCJvT01TAFpwEslrtWGsJs,34.412019,-119.844603
252,252,,Parking II (aka Parking 10),https://drive.google.com/open?id=1OlkqGfZk6b0UPu-bmo4V0uO14USq8IDS,https://drawings.facilities.ucsb.edu/results.php?locnum=252,252-Parking II (aka Parking 10),https://drive.google.com/open?id=1CDtP-lUWb_9WVpdMTOiT2suw_dvsYKYP,34.415333,-119.840538
254,254,,Parking III (aka Parking 22),https://drive.google.com/open?id=1P1X9vLf2usv8J8r9SZiHRncNNJlsj4B6,https://drawings.facilities.ucsb.edu/results.php?locnum=254,254-Parking III (aka Parking 22),https://drive.google.com/open?id=1CFDGkBaMbzUAvcmh1jvrGKPkgOw-Tgmu,34.413606,-119.8526
266,266,,Elings Hall,https://drive.google.com/open?id=1P4mEHrZKsRsKSPRmfriNmhxEpRDeFTvq,https://drawings.facilities.ucsb.edu/results.php?locnum=266,266-Elings Hall,https://drive.google.com/open?id=1CFcXjdgtoGeCdJbgmHMhUysrVDyLRu9-,34.415391,-119.84
275,275,,Education Building,https://drive.google.com/open?id=1P7h7X8ASCSyoXdmTjzg4-UY5FtYVEGP_,https://drawings.facilities.ucsb.edu/results.php?locnum=275,275-Education Building,https://drive.google.com/open?id=1CSxnjIa2lo-1Y-tity51AdGFUY29Rfgb,34.415166,-119.850431
276,276,,Social Sciences & Media Studies,https://drive.google.com/open?id=1PBDjB5iWeYSoqc-rcjhVFzjNpjRt2wA_,https://drawings.facilities.ucsb.edu/results.php?locnum=276,276-Social Sciences & Media Studies,https://drive.google.com/open?id=1CNdCScU9ZFGU--Op4lMqaJVwi_8Wp5oI,34.415136,-119.849503
277,277,,Pollock Theater,https://drive.google.com/open?id=1PEtmLmdUCIZhmiPNQ7fWugHh9busK2gb,https://drawings.facilities.ucsb.edu/results.php?locnum=277,277-Pollock Theater,https://drive.google.com/open?id=1CXaEqCTxJ3_QsCiHa_c5gMFQF-A2elZq,34.415051,-119.848818
300,300,,Campus Learning Resources Building,https://drive.google.com/open?id=1PHl8QoJ3Z4qt_VjpHStk49w9QKA2JAnH,https://drawings.facilities.ucsb.edu/results.php?locnum=300,300-Campus Learning Resources Building,https://drive.google.com/open?id=1CdQhfj5lIznxy3frVgxjy5yoKZF33L2e,34.414088,-119.848131
317,317,,Police 317,https://drive.google.com/open?id=1PUWCmeMubOeZA55gFuikUqTVoQvXySqi,https://drawings.facilities.ucsb.edu/results.php?locnum=317,317-Police 317,https://drive.google.com/open?id=1CjGNvHGIFC-_Yv-XD92W0Rg3qjuFUiRM,34.422037,-119.852839
319,319,,Relocatable 319,https://drive.google.com/open?id=1PW3TvCGGGDLKUQBPVt9vgg3pshgc6O0K,https://drawings.facilities.ucsb.edu/results.php?locnum=319,319-Relocatable 319,https://drive.google.com/open?id=1Cq9__RXkJaIGEC9JILkxmkUSHZvQJhvz,34.40812,-119.843728
321,321,,Trailer 321,https://drive.google.com/open?id=1PWaMbzHLfkiIsDJA8-icer83kl5QeoUe,https://drawings.facilities.ucsb.edu/results.php?locnum=321,321-Trailer 321,https://drive.google.com/open?id=1ClWoHhnQcIfBl28cAy6lFpIwbQmm0KNR,34.408184,-119.843758
322,322,,Relocatable 322,https://drive.google.com/open?id=1PbqMxwgx7KxmFaTGSSIaxt1rq9oVZt62,https://drawings.facilities.ucsb.edu/results.php?locnum=322,322-Relocatable 322,https://drive.google.com/open?id=1Ck2KyAAS9IbRwWhWcoSUsVc21bxO7iRv,34.410785,-119.845416
324,324,,Bike Shop,https://drive.google.com/open?id=1PfB3iKt1_5NDRu-Ccg_C0X3MqWUSPepI,https://drawings.facilities.ucsb.edu/results.php?locnum=324,324-Bike Shop,https://drive.google.com/open?id=1CqbYJb6XuwSE5JoumRfvKuq6GMBU-3jz,34.414404,-119.849333
334,334,,Marine Science Institute Trailer 334,https://drive.google.com/open?id=1PgnH-27a0Wow3eXj-qAJlT3N8v83ld54,https://drawings.facilities.ucsb.edu/results.php?locnum=334,334-Marine Science Institute Trailer 334,https://drive.google.com/open?id=1CzV7k5niIFlN-z6AVjPgBeOYSyZWDX-u,34.407781,-119.843864
336,336,,Central Garage Office,https://drive.google.com/open?id=1PiaBxjk1ie7KqyQcsH--KWTn4Tz1FqRm,https://drawings.facilities.ucsb.edu/results.php?locnum=336,336-Central Garage Office,https://drive.google.com/open?id=1D5vgsm1DGrhAFCh0wa-Mrqcw-955hhWc,34.420472,-119.852069
338,338,,Marine Science Institute Trailer 338,https://drive.google.com/open?id=1PieJwyg6BElDeMM-yy2AWHQPNnu6DlH3,https://drawings.facilities.ucsb.edu/results.php?locnum=338,338-Marine Science Institute Trailer 338,https://drive.google.com/open?id=1DJfJxKauiY8aP1Yd2M_UXGPIK8lyBug3,34.407789,-119.843934
